row_s,col_s,row_e,col_e,duration,timestamp,car,distance
5,6,4,6,1372.5,1399421219.26,450/EV667NT,2092.15667158
2,3,7,7,2313.53999996,1399420380.32,422/EV640NT,13424.1317219
6,4,6,8,2973.8599999,1399419765.5,162/ET804WT,5601.89432333
4,6,8,7,1991.37999988,1399420747.98,263/ET905WT,7246.97862559
6,3,4,3,4266.2099998,1399418473.15,467/EV304TP,4114.49585976
5,2,6,6,3857.77999997,1399419045.77,052/ET694WT,5889.59475923
6,5,8,6,1295.30999994,1399421669.54,046/ET688WT,3662.987315
5,6,6,6,573.639999866,1399422841.43,260/ET902WT,2040.43751973
6,6,6,7,531.900000095,1399423046.51,186/ET828WT,1478.49738606
6,5,7,2,1231.72000003,1399422571.35,233/ET875WT,5242.18821586
6,6,5,5,638.00999999,1399423558.01,260/ET902WT,2388.88609645
5,7,4,6,618.139999866,1399423639.7,335/EV527NT,2015.65811327
7,6,7,4,949.639999866,1399423517.13,030/ET672WT,2889.20955509
6,2,8,3,1015.48000002,1399423925.62,091/ET733WT,3632.41373779
5,1,6,2,637.690000057,1399424364.71,470/EV307TP,2429.77211545
8,6,5,3,2431.02000022,1399422693.86,038/ET680WT,7447.02781433
5,6,5,7,1134.16999984,1399424053.13,331/EV502NT,1731.60573642
5,2,5,2,593.279999971,1399424696.09,394/EV613NT,952.25034611
2,4,4,7,802.220000029,1399424568.85,016/ET658WT,5165.83176952
6,7,5,4,1310.65999985,1399424981.92,402/EV621NT,4002.22865008
7,2,6,8,735.279999971,1399426333.45,311/EV503NT,9186.18555644
4,3,7,6,1531.81999993,1399426272.18,489/EV325TP,7879.71323176
5,6,5,7,3270.44000006,1399425146.47,088/ET730WT,2119.25156931
3,3,5,5,2839.92000008,1399426087.53,280/ET922WT,5564.66728105
6,2,3,2,531.099999905,1399428682.25,014/ET656WT,4649.61084442
4,2,5,6,1695.43000007,1399427579.3,313/EV499NT,5670.12980545
6,6,5,5,470.00999999,1399429703.53,290/ET932WT,2316.11636941
5,5,6,6,592.639999866,1399429989.38,280/ET922WT,1816.55393299
6,6,5,5,1042.63000011,1399431420.07,052/ET694WT,2463.56248429
5,5,5,6,837.480000019,1399431829.46,260/ET902WT,1518.97772958
3,4,5,5,1000.96000004,1399432319.76,165/ET807WT,5983.40559567
4,5,4,5,1715.98999977,1399431788.63,436/EV654NT,73.5881981484
6,2,5,2,2390.0999999,1399431870.42,480/EV317TP,1171.30253312
6,7,6,3,694.650000095,1399433586.33,054/ET696WT,6013.28223289
6,0,5,4,2880.98000002,1399431685.98,110/ET752WT,5699.88012354
6,7,6,7,1613.79999995,1399433259.49,059/ET701WT,113.971942773
6,6,7,1,1021.24000001,1399433974.55,298/ET940WT,9078.91105238
6,6,6,6,224.730000019,1399435342.91,414/EV632NT,1284.80819941
7,5,6,6,837.25,1399435057.12,092/ET734WT,2215.8247042
5,1,6,5,1021.10000014,1399434975.37,381/EV600NT,5325.44207844
4,6,4,6,265.470000029,1399435914.79,090/ET732WT,653.910175049
8,6,6,2,1204.83000016,1399435118.36,281/ET923WT,7284.7146028
